"sentence","word_labels"
"10 minutes before the end of cooking, get a few ladles of broth (one at a time) and wet the couscous semolina.","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,U-FOOD,O"
"1 hour before it is ready (or when you can't see water above the rice), add the garlic.","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,U-FOOD,O,O,O,O,U-FOOD,O"
"24h after soaking, boil the beans during 5 minutes and rince to clean up impurities.","O,O,O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O,O"
"3/4 of an inch thick","O,O,O,O,O"
"3 min on each side)","O,O,O,O,O,O"
"3 minutes.","O,O,O"
"5""x9""), and add above mix.","O,O,O,O,O,O,O,O,O"
"6/180°, take the baking sheet out of the oven and line it with aluminum foil.","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"About 20 minutes before it is to be done take the chopped greens and put them in the soup.","O,O,O,O,O,O,O,O,O,O,O,O,U-FOOD,O,O,O,O,O,O,O"
"About 3-5 minutes before removing the potatoes from the heat, add some","O,O,O,O,O,O,O,O,U-FOOD,O,O,O,O,O,O"
"About every 30 minutes, perform a stretch and fold.","O,O,O,O,O,O,O,O,O,O,O"
"About ten minutes before removing the potatoes from the boiling water, cut","O,O,O,O,O,O,U-FOOD,O,O,O,U-FOOD,O,O"
"Act fast! As the eggs start cooking, prepare a plate with two handfuls of chopped green onion and Tabasco.","O,O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O,O,O,B-FOOD,L-FOOD,O,U-FOOD,O"
"Add 0.5 L (0.13 gal) of boiling water.","O,O,O,O,O,O,O,O,O,U-FOOD,O"
"Add 1½-2 tsp of salt and a little bit of ground black pepper.","O,O,O,O,U-FOOD,O,O,O,O,O,O,B-FOOD,L-FOOD,O"
"Add 1 1/2 cup water and 1/4 tsp salt to a medium pot.","O,O,O,O,U-FOOD,O,O,O,U-FOOD,O,O,O,O,O"
"Add 1 1/4 cups water and bring to a boil over high heat.","O,O,O,O,U-FOOD,O,O,O,O,O,O,O,O,O"
"Add 1 1/4 cup water and 1/4 tsp salt to a medium pot.","O,O,O,O,U-FOOD,O,O,O,U-FOOD,O,O,O,O,O"
"Add ½ cup (120ml) of oil into a large pan.","O,O,O,O,O,O,O,U-FOOD,O,O,O,O,O"
